2023-08-11 21:03:46,778 - INFO - 0.138
2023-08-11 21:04:06,796 - INFO - 0.05
2023-08-11 21:04:22,814 - INFO - 0.062
2023-08-11 21:04:39,820 - INFO - 0.059
2023-08-11 21:05:02,551 - INFO - 0.044
2023-08-11 21:06:10,694 - INFO - 0.015
2023-08-11 21:06:26,079 - INFO - 0.065
2023-08-11 21:06:42,066 - INFO - 0.063
2023-08-11 21:06:42,882 - INFO - 1.229
2023-08-11 21:06:54,866 - INFO - 0.083
2023-08-11 21:07:00,181 - INFO - 0.188
2023-08-11 21:07:28,099 - INFO - 0.036
2023-08-11 21:07:30,601 - INFO - 0.399
